E,P
0.0,0.14325267957729443
0.1282282715750936,0.16220461191480098
0.2564565431501872,0.27533842346360315
0.38468481472528077,0.3781769597807087
0.5129130863003744,0.4792796238893954
0.6411413578754679,0.6125819144655682
0.7693696294505615,0.7135957052007191
0.8975979010256552,0.8055596800115499
1.0258261726007487,0.8476881746574964
1.1540544441758422,1.002232337652101
1.2822827157509358,0.6852841832418797
1.4105109873260295,1.135136656396637
1.538739258901123,0.9235770607827928
1.6669675304762166,0.9339995085247127
1.7951958020513104,0.811671772116172
1.9234240736264039,0.8474281108759931
2.0516523452014974,0.9617229008566266
2.179880616776591,0.8737378891584031
2.3081088883516845,0.6987986191490092
2.436337159926778,0.5925085473057762
2.5645654315018716,0.6717398723894517
2.6927937030769655,0.30030003326763965
2.821021974652059,0.3075535284628262
2.9492502462271526,0.24935065878183704
3.077478517802246,-0.18674177379062673
3.2057067893773397,-0.18062817516064594
3.333935060952433,-0.09451553125868274
3.4621633325275267,-0.4571629820119822
3.5903916041026207,-0.4256378965224972
3.7186198756777142,-0.4458784370725637
3.8468481472528078,-0.7041144447880714
3.9750764188279013,-0.8317411315175152
4.103304690402995,-0.7877939810593855
4.231532961978089,-0.9301546229674875
4.359761233553182,-1.0287714090558402
4.487989505128276,-1.0197988360165202
4.616217776703369,-1.0423559719853042
4.744446048278463,-1.1018542238929852
4.872674319853556,-0.9671910005102284
5.00090259142865,-0.8483294547168101
5.129130863003743,-1.2232298468602862
5.257359134578837,-0.8239520069471472
5.385587406153931,-0.6760425600318819
5.513815677729024,-0.6235755057610046
5.642043949304118,-0.5882968466946502
5.770272220879211,-0.5505485948295945
5.898500492454305,-0.3010567409334322
6.026728764029398,-0.3081282672113757
6.154957035604492,-0.16663336063076917
6.283185307179586,-0.22405386207042513
